visit,ts,app_state
aid_v1_425B6665-A7DF-4908-BF09-AE9A2AF33D3C.1602433194,1602290614,background
aid_v1_425B6665-A7DF-4908-BF09-AE9A2AF33D3C.1602433194,1602338072,background
aid_v1_425B6665-A7DF-4908-BF09-AE9A2AF33D3C.1602433194,1602358875,background
aid_v1_425B6665-A7DF-4908-BF09-AE9A2AF33D3C.1602433194,1602367445,background
aid_v1_425B6665-A7DF-4908-BF09-AE9A2AF33D3C.1602433194,1602367446,background
aid_v1_425B6665-A7DF-4908-BF09-AE9A2AF33D3C.1602433194,1602370882,background
aid_v1_425B6665-A7DF-4908-BF09-AE9A2AF33D3C.1602433194,1602370883,background
aid_v1_425B6665-A7DF-4908-BF09-AE9A2AF33D3C.1602433194,1602370884,background
aid_v1_425B6665-A7DF-4908-BF09-AE9A2AF33D3C.1602433194,1602433195,foreground
aid_v1_425B6665-A7DF-4908-BF09-AE9A2AF33D3C.1602433194,1602433196,foreground
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480846,background
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480846,foreground
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480847,background
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480847,foreground
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480849,foreground
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480851,foreground
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480852,foreground
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480852,background
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480853,foreground
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480854,background
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480860,background
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480861,background
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480862,background
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480931,background
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480931,foreground
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480938,foreground
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480939,background
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480939,foreground
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480941,background
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480942,background
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480944,background
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480944,foreground
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480946,background
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480949,foreground
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480949,background
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480957,background
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480958,foreground
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480960,foreground
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480960,background
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480967,foreground
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480971,background
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480972,foreground
did_v1_0132A8FD-3CCF-4D2B-966F-F187A7576937.1602480845,1602480974,foreground
did_v1_02376C94-AC0E-49CF-9DE3-14642BBF160C.1602424414,1602424415,background
did_v1_02376C94-AC0E-49CF-9DE3-14642BBF160C.1602424414,1602424415,
